Seq	Host	Starttime	JobRuntime	Send	Receive	Exitval	Signal	Command
2	:	1789251228.212	    66.600	0	62886	1	0	.venv/bin/hypothesis-helm scan third_party/bitnami-charts/bitnami/apache --helm /tmp/hh-helm4/darwin-arm64/helm --chart-timeout 5m --filter --artifact-dir docs/reports/bitnami-runs/bitnami-charts_1789251211/runs
4	:	1789251228.219	    73.390	0	137705	1	0	.venv/bin/hypothesis-helm scan third_party/bitnami-charts/bitnami/appsmith --helm /tmp/hh-helm4/darwin-arm64/helm --chart-timeout 5m --filter --artifact-dir docs/reports/bitnami-runs/bitnami-charts_1789251211/runs
6	:	1789251301.617	    48.681	0	119604	1	0	.venv/bin/hypothesis-helm scan third_party/bitnami-charts/bitnami/argo-workflows --helm /tmp/hh-helm4/darwin-arm64/helm --chart-timeout 5m --filter --artifact-dir docs/reports/bitnami-runs/bitnami-charts_1789251211/runs
1	:	1789251228.209	   144.594	0	385665	1	0	.venv/bin/hypothesis-helm scan third_party/bitnami-charts/bitnami/airflow --helm /tmp/hh-helm4/darwin-arm64/helm --chart-timeout 5m --filter --artifact-dir docs/reports/bitnami-runs/bitnami-charts_1789251211/runs
7	:	1789251350.306	    31.345	0	55607	1	0	.venv/bin/hypothesis-helm scan third_party/bitnami-charts/bitnami/aspnet-core --helm /tmp/hh-helm4/darwin-arm64/helm --chart-timeout 5m --filter --artifact-dir docs/reports/bitnami-runs/bitnami-charts_1789251211/runs
8	:	1789251372.810	    18.397	0	47599	1	0	.venv/bin/hypothesis-helm scan third_party/bitnami-charts/bitnami/cadvisor --helm /tmp/hh-helm4/darwin-arm64/helm --chart-timeout 5m --filter --artifact-dir docs/reports/bitnami-runs/bitnami-charts_1789251211/runs
9	:	1789251381.657	    24.707	0	89581	1	0	.venv/bin/hypothesis-helm scan third_party/bitnami-charts/bitnami/cassandra --helm /tmp/hh-helm4/darwin-arm64/helm --chart-timeout 5m --filter --artifact-dir docs/reports/bitnami-runs/bitnami-charts_1789251211/runs
5	:	1789251294.818	   153.977	0	344835	1	0	.venv/bin/hypothesis-helm scan third_party/bitnami-charts/bitnami/argo-cd --helm /tmp/hh-helm4/darwin-arm64/helm --chart-timeout 5m --filter --artifact-dir docs/reports/bitnami-runs/bitnami-charts_1789251211/runs
10	:	1789251391.211	    60.960	0	115623	1	0	.venv/bin/hypothesis-helm scan third_party/bitnami-charts/bitnami/cert-manager --helm /tmp/hh-helm4/darwin-arm64/helm --chart-timeout 5m --filter --artifact-dir docs/reports/bitnami-runs/bitnami-charts_1789251211/runs
11	:	1789251406.371	    90.263	0	159605	1	0	.venv/bin/hypothesis-helm scan third_party/bitnami-charts/bitnami/chainloop --helm /tmp/hh-helm4/darwin-arm64/helm --chart-timeout 5m --filter --artifact-dir docs/reports/bitnami-runs/bitnami-charts_1789251211/runs
13	:	1789251452.175	    60.493	0	188311	1	0	.venv/bin/hypothesis-helm scan third_party/bitnami-charts/bitnami/clickhouse --helm /tmp/hh-helm4/darwin-arm64/helm --chart-timeout 5m --filter --artifact-dir docs/reports/bitnami-runs/bitnami-charts_1789251211/runs
14	:	1789251496.641	    35.139	0	75127	1	0	.venv/bin/hypothesis-helm scan third_party/bitnami-charts/bitnami/clickhouse-operator --helm /tmp/hh-helm4/darwin-arm64/helm --chart-timeout 5m --filter --artifact-dir docs/reports/bitnami-runs/bitnami-charts_1789251211/runs
16	:	1789251531.786	     0.632	0	1335	2	0	.venv/bin/hypothesis-helm scan third_party/bitnami-charts/bitnami/common --helm /tmp/hh-helm4/darwin-arm64/helm --chart-timeout 5m --filter --artifact-dir docs/reports/bitnami-runs/bitnami-charts_1789251211/runs
3	:	1789251228.215	   304.355	0	229170	1	0	.venv/bin/hypothesis-helm scan third_party/bitnami-charts/bitnami/apisix --helm /tmp/hh-helm4/darwin-arm64/helm --chart-timeout 5m --filter --artifact-dir docs/reports/bitnami-runs/bitnami-charts_1789251211/runs
18	:	1789251532.574	    25.134	0	60594	1	0	.venv/bin/hypothesis-helm scan third_party/bitnami-charts/bitnami/consul --helm /tmp/hh-helm4/darwin-arm64/helm --chart-timeout 5m --filter --artifact-dir docs/reports/bitnami-runs/bitnami-charts_1789251211/runs
17	:	1789251532.424	    51.420	0	141180	1	0	.venv/bin/hypothesis-helm scan third_party/bitnami-charts/bitnami/concourse --helm /tmp/hh-helm4/darwin-arm64/helm --chart-timeout 5m --filter --artifact-dir docs/reports/bitnami-runs/bitnami-charts_1789251211/runs
15	:	1789251512.673	    84.381	0	129237	1	0	.venv/bin/hypothesis-helm scan third_party/bitnami-charts/bitnami/cloudnative-pg --helm /tmp/hh-helm4/darwin-arm64/helm --chart-timeout 5m --filter --artifact-dir docs/reports/bitnami-runs/bitnami-charts_1789251211/runs
12	:	1789251448.803	   176.174	0	332067	1	0	.venv/bin/hypothesis-helm scan third_party/bitnami-charts/bitnami/cilium --helm /tmp/hh-helm4/darwin-arm64/helm --chart-timeout 5m --filter --artifact-dir docs/reports/bitnami-runs/bitnami-charts_1789251211/runs
21	:	1789251597.062	    54.751	0	88975	1	0	.venv/bin/hypothesis-helm scan third_party/bitnami-charts/bitnami/discourse --helm /tmp/hh-helm4/darwin-arm64/helm --chart-timeout 5m --filter --artifact-dir docs/reports/bitnami-runs/bitnami-charts_1789251211/runs
23	:	1789251651.819	    70.767	0	66585	1	0	.venv/bin/hypothesis-helm scan third_party/bitnami-charts/bitnami/drupal --helm /tmp/hh-helm4/darwin-arm64/helm --chart-timeout 5m --filter --artifact-dir docs/reports/bitnami-runs/bitnami-charts_1789251211/runs
19	:	1789251557.715	   167.758	0	199369	1	0	.venv/bin/hypothesis-helm scan third_party/bitnami-charts/bitnami/contour --helm /tmp/hh-helm4/darwin-arm64/helm --chart-timeout 5m --filter --artifact-dir docs/reports/bitnami-runs/bitnami-charts_1789251211/runs
22	:	1789251624.984	   126.120	0	298693	1	0	.venv/bin/hypothesis-helm scan third_party/bitnami-charts/bitnami/dremio --helm /tmp/hh-helm4/darwin-arm64/helm --chart-timeout 5m --filter --artifact-dir docs/reports/bitnami-runs/bitnami-charts_1789251211/runs
24	:	1789251722.594	    33.804	0	53407	1	0	.venv/bin/hypothesis-helm scan third_party/bitnami-charts/bitnami/ejbca --helm /tmp/hh-helm4/darwin-arm64/helm --chart-timeout 5m --filter --artifact-dir docs/reports/bitnami-runs/bitnami-charts_1789251211/runs
25	:	1789251725.478	    93.592	0	263550	1	0	.venv/bin/hypothesis-helm scan third_party/bitnami-charts/bitnami/elasticsearch --helm /tmp/hh-helm4/darwin-arm64/helm --chart-timeout 5m --filter --artifact-dir docs/reports/bitnami-runs/bitnami-charts_1789251211/runs
28	:	1789251819.075	    33.846	0	141481	1	0	.venv/bin/hypothesis-helm scan third_party/bitnami-charts/bitnami/external-dns --helm /tmp/hh-helm4/darwin-arm64/helm --chart-timeout 5m --filter --artifact-dir docs/reports/bitnami-runs/bitnami-charts_1789251211/runs
29	:	1789251852.930	    26.465	0	62018	1	0	.venv/bin/hypothesis-helm scan third_party/bitnami-charts/bitnami/flink --helm /tmp/hh-helm4/darwin-arm64/helm --chart-timeout 5m --filter --artifact-dir docs/reports/bitnami-runs/bitnami-charts_1789251211/runs
20	:	1789251583.852	   306.680	0	103220	1	0	.venv/bin/hypothesis-helm scan third_party/bitnami-charts/bitnami/deepspeed --helm /tmp/hh-helm4/darwin-arm64/helm --chart-timeout 5m --filter --artifact-dir docs/reports/bitnami-runs/bitnami-charts_1789251211/runs
30	:	1789251879.401	    39.316	0	61113	1	0	.venv/bin/hypothesis-helm scan third_party/bitnami-charts/bitnami/fluent-bit --helm /tmp/hh-helm4/darwin-arm64/helm --chart-timeout 5m --filter --artifact-dir docs/reports/bitnami-runs/bitnami-charts_1789251211/runs
31	:	1789251890.537	    38.514	0	111977	1	0	.venv/bin/hypothesis-helm scan third_party/bitnami-charts/bitnami/fluentd --helm /tmp/hh-helm4/darwin-arm64/helm --chart-timeout 5m --filter --artifact-dir docs/reports/bitnami-runs/bitnami-charts_1789251211/runs
26	:	1789251751.110	   200.598	0	85251	1	0	.venv/bin/hypothesis-helm scan third_party/bitnami-charts/bitnami/envoy-gateway --helm /tmp/hh-helm4/darwin-arm64/helm --chart-timeout 5m --filter --artifact-dir docs/reports/bitnami-runs/bitnami-charts_1789251211/runs
34	:	1789251951.714	    34.618	0	62236	1	0	.venv/bin/hypothesis-helm scan third_party/bitnami-charts/bitnami/gitea --helm /tmp/hh-helm4/darwin-arm64/helm --chart-timeout 5m --filter --artifact-dir docs/reports/bitnami-runs/bitnami-charts_1789251211/runs
33	:	1789251929.057	    76.143	0	71323	1	0	.venv/bin/hypothesis-helm scan third_party/bitnami-charts/bitnami/ghost --helm /tmp/hh-helm4/darwin-arm64/helm --chart-timeout 5m --filter --artifact-dir docs/reports/bitnami-runs/bitnami-charts_1789251211/runs
35	:	1789251986.338	    36.566	0	74123	1	0	.venv/bin/hypothesis-helm scan third_party/bitnami-charts/bitnami/gitlab-runner --helm /tmp/hh-helm4/darwin-arm64/helm --chart-timeout 5m --filter --artifact-dir docs/reports/bitnami-runs/bitnami-charts_1789251211/runs
36	:	1789252005.235	    36.406	0	94588	1	0	.venv/bin/hypothesis-helm scan third_party/bitnami-charts/bitnami/grafana --helm /tmp/hh-helm4/darwin-arm64/helm --chart-timeout 5m --filter --artifact-dir docs/reports/bitnami-runs/bitnami-charts_1789251211/runs
27	:	1789251756.405	   305.917	0	101566	2	0	.venv/bin/hypothesis-helm scan third_party/bitnami-charts/bitnami/etcd --helm /tmp/hh-helm4/darwin-arm64/helm --chart-timeout 5m --filter --artifact-dir docs/reports/bitnami-runs/bitnami-charts_1789251211/runs
37	:	1789252022.911	    43.026	0	73923	1	0	.venv/bin/hypothesis-helm scan third_party/bitnami-charts/bitnami/grafana-alloy --helm /tmp/hh-helm4/darwin-arm64/helm --chart-timeout 5m --filter --artifact-dir docs/reports/bitnami-runs/bitnami-charts_1789251211/runs
38	:	1789252041.647	    31.224	0	45159	1	0	.venv/bin/hypothesis-helm scan third_party/bitnami-charts/bitnami/grafana-k6-operator --helm /tmp/hh-helm4/darwin-arm64/helm --chart-timeout 5m --filter --artifact-dir docs/reports/bitnami-runs/bitnami-charts_1789251211/runs
41	:	1789252072.877	    31.737	0	51738	1	0	.venv/bin/hypothesis-helm scan third_party/bitnami-charts/bitnami/grafana-operator --helm /tmp/hh-helm4/darwin-arm64/helm --chart-timeout 5m --filter --artifact-dir docs/reports/bitnami-runs/bitnami-charts_1789251211/runs
42	:	1789252104.619	   101.286	0	220536	1	0	.venv/bin/hypothesis-helm scan third_party/bitnami-charts/bitnami/grafana-tempo --helm /tmp/hh-helm4/darwin-arm64/helm --chart-timeout 5m --filter --artifact-dir docs/reports/bitnami-runs/bitnami-charts_1789251211/runs
32	:	1789251918.723	   289.023	0	340401	1	0	.venv/bin/hypothesis-helm scan third_party/bitnami-charts/bitnami/flux --helm /tmp/hh-helm4/darwin-arm64/helm --chart-timeout 5m --filter --artifact-dir docs/reports/bitnami-runs/bitnami-charts_1789251211/runs
39	:	1789252062.330	   158.684	0	319149	1	0	.venv/bin/hypothesis-helm scan third_party/bitnami-charts/bitnami/grafana-loki --helm /tmp/hh-helm4/darwin-arm64/helm --chart-timeout 5m --filter --artifact-dir docs/reports/bitnami-runs/bitnami-charts_1789251211/runs
43	:	1789252205.912	    27.538	0	44277	1	0	.venv/bin/hypothesis-helm scan third_party/bitnami-charts/bitnami/haproxy --helm /tmp/hh-helm4/darwin-arm64/helm --chart-timeout 5m --filter --artifact-dir docs/reports/bitnami-runs/bitnami-charts_1789251211/runs
40	:	1789252065.941	   190.598	0	396817	1	0	.venv/bin/hypothesis-helm scan third_party/bitnami-charts/bitnami/grafana-mimir --helm /tmp/hh-helm4/darwin-arm64/helm --chart-timeout 5m --filter --artifact-dir docs/reports/bitnami-runs/bitnami-charts_1789251211/runs
45	:	1789252221.019	    61.687	0	118990	1	0	.venv/bin/hypothesis-helm scan third_party/bitnami-charts/bitnami/influxdb --helm /tmp/hh-helm4/darwin-arm64/helm --chart-timeout 5m --filter --artifact-dir docs/reports/bitnami-runs/bitnami-charts_1789251211/runs
47	:	1789252256.544	    34.542	0	82518	1	0	.venv/bin/hypothesis-helm scan third_party/bitnami-charts/bitnami/janusgraph --helm /tmp/hh-helm4/darwin-arm64/helm --chart-timeout 5m --filter --artifact-dir docs/reports/bitnami-runs/bitnami-charts_1789251211/runs
46	:	1789252233.456	    64.031	0	88751	1	0	.venv/bin/hypothesis-helm scan third_party/bitnami-charts/bitnami/jaeger --helm /tmp/hh-helm4/darwin-arm64/helm --chart-timeout 5m --filter --artifact-dir docs/reports/bitnami-runs/bitnami-charts_1789251211/runs
49	:	1789252291.092	    58.624	0	133365	1	0	.venv/bin/hypothesis-helm scan third_party/bitnami-charts/bitnami/jupyterhub --helm /tmp/hh-helm4/darwin-arm64/helm --chart-timeout 5m --filter --artifact-dir docs/reports/bitnami-runs/bitnami-charts_1789251211/runs
48	:	1789252282.713	    78.714	0	85579	1	0	.venv/bin/hypothesis-helm scan third_party/bitnami-charts/bitnami/jenkins --helm /tmp/hh-helm4/darwin-arm64/helm --chart-timeout 5m --filter --artifact-dir docs/reports/bitnami-runs/bitnami-charts_1789251211/runs
50	:	1789252297.494	    68.434	0	315289	1	0	.venv/bin/hypothesis-helm scan third_party/bitnami-charts/bitnami/kafka --helm /tmp/hh-helm4/darwin-arm64/helm --chart-timeout 5m --filter --artifact-dir docs/reports/bitnami-runs/bitnami-charts_1789251211/runs
52	:	1789252361.432	    42.876	0	168756	1	0	.venv/bin/hypothesis-helm scan third_party/bitnami-charts/bitnami/keydb --helm /tmp/hh-helm4/darwin-arm64/helm --chart-timeout 5m --filter --artifact-dir docs/reports/bitnami-runs/bitnami-charts_1789251211/runs
53	:	1789252365.934	    46.325	0	82446	1	0	.venv/bin/hypothesis-helm scan third_party/bitnami-charts/bitnami/kibana --helm /tmp/hh-helm4/darwin-arm64/helm --chart-timeout 5m --filter --artifact-dir docs/reports/bitnami-runs/bitnami-charts_1789251211/runs
51	:	1789252349.722	    68.873	0	117934	1	0	.venv/bin/hypothesis-helm scan third_party/bitnami-charts/bitnami/keycloak --helm /tmp/hh-helm4/darwin-arm64/helm --chart-timeout 5m --filter --artifact-dir docs/reports/bitnami-runs/bitnami-charts_1789251211/runs
54	:	1789252404.314	    45.838	0	112010	1	0	.venv/bin/hypothesis-helm scan third_party/bitnami-charts/bitnami/kong --helm /tmp/hh-helm4/darwin-arm64/helm --chart-timeout 5m --filter --artifact-dir docs/reports/bitnami-runs/bitnami-charts_1789251211/runs
57	:	1789252450.157	     1.414	0	3562	1	0	.venv/bin/hypothesis-helm scan third_party/bitnami-charts/bitnami/kube-prometheus/charts/kube-prometheus-crds --helm /tmp/hh-helm4/darwin-arm64/helm --chart-timeout 5m --filter --artifact-dir docs/reports/bitnami-runs/bitnami-charts_1789251211/runs
44	:	1789252207.753	   244.256	0	421961	1	0	.venv/bin/hypothesis-helm scan third_party/bitnami-charts/bitnami/harbor --helm /tmp/hh-helm4/darwin-arm64/helm --chart-timeout 5m --filter --artifact-dir docs/reports/bitnami-runs/bitnami-charts_1789251211/runs
