Seq	Host	Starttime	JobRuntime	Send	Receive	Exitval	Signal	Command
1	:	1789390003.795	   314.215	0	0	1	0	bash docs/reports/bitnami-runs/bitnami-charts_1789389834/chart.sh third_party/bitnami-charts/bitnami/airflow 1 1 docs/reports/bitnami-runs/bitnami-charts_1789389834
2	:	1789390318.554	   103.485	0	0	1	0	bash docs/reports/bitnami-runs/bitnami-charts_1789389834/chart.sh third_party/bitnami-charts/bitnami/apache 2 1 docs/reports/bitnami-runs/bitnami-charts_1789389834
3	:	1789390422.565	   311.152	0	0	1	0	bash docs/reports/bitnami-runs/bitnami-charts_1789389834/chart.sh third_party/bitnami-charts/bitnami/apisix 3 1 docs/reports/bitnami-runs/bitnami-charts_1789389834
4	:	1789390734.236	   312.329	0	0	1	0	bash docs/reports/bitnami-runs/bitnami-charts_1789389834/chart.sh third_party/bitnami-charts/bitnami/appsmith 4 1 docs/reports/bitnami-runs/bitnami-charts_1789389834
5	:	1789391047.120	   310.418	0	0	1	0	bash docs/reports/bitnami-runs/bitnami-charts_1789389834/chart.sh third_party/bitnami-charts/bitnami/argo-cd 5 1 docs/reports/bitnami-runs/bitnami-charts_1789389834
