Seq	Host	Starttime	JobRuntime	Send	Receive	Exitval	Signal	Command
2	:	1789251044.726	    18.046	0	63164	1	0	.venv/bin/hypothesis-helm scan third_party/bitnami-charts/bitnami/apache --helm /tmp/hh-helm4/darwin-arm64/helm --chart-timeout 5m --filter --artifact-dir docs/reports/bitnami-runs/bitnami-charts_1789251016/runs
4	:	1789251044.733	    48.697	0	138072	1	0	.venv/bin/hypothesis-helm scan third_party/bitnami-charts/bitnami/appsmith --helm /tmp/hh-helm4/darwin-arm64/helm --chart-timeout 5m --filter --artifact-dir docs/reports/bitnami-runs/bitnami-charts_1789251016/runs
6	:	1789251093.435	    44.594	0	119869	1	0	.venv/bin/hypothesis-helm scan third_party/bitnami-charts/bitnami/argo-workflows --helm /tmp/hh-helm4/darwin-arm64/helm --chart-timeout 5m --filter --artifact-dir docs/reports/bitnami-runs/bitnami-charts_1789251016/runs
