Seq	Host	Starttime	JobRuntime	Send	Receive	Exitval	Signal	Command
2	:	1789387418.715	   303.930	0	0	1	0	bash docs/reports/bitnami-runs/bitnami-charts_1789387262/chart.sh third_party/bitnami-charts/bitnami/apache 2 2 docs/reports/bitnami-runs/bitnami-charts_1789387262
6	:	1789387418.736	   310.623	0	0	1	0	bash docs/reports/bitnami-runs/bitnami-charts_1789387262/chart.sh third_party/bitnami-charts/bitnami/argo-workflows 6 6 docs/reports/bitnami-runs/bitnami-charts_1789387262
4	:	1789387418.724	   313.906	0	0	2	0	bash docs/reports/bitnami-runs/bitnami-charts_1789387262/chart.sh third_party/bitnami-charts/bitnami/appsmith 4 4 docs/reports/bitnami-runs/bitnami-charts_1789387262
5	:	1789387418.731	   314.351	0	0	2	0	bash docs/reports/bitnami-runs/bitnami-charts_1789387262/chart.sh third_party/bitnami-charts/bitnami/argo-cd 5 5 docs/reports/bitnami-runs/bitnami-charts_1789387262
3	:	1789387418.720	   314.417	0	0	2	0	bash docs/reports/bitnami-runs/bitnami-charts_1789387262/chart.sh third_party/bitnami-charts/bitnami/apisix 3 3 docs/reports/bitnami-runs/bitnami-charts_1789387262
1	:	1789387418.711	   316.582	0	0	2	0	bash docs/reports/bitnami-runs/bitnami-charts_1789387262/chart.sh third_party/bitnami-charts/bitnami/airflow 1 1 docs/reports/bitnami-runs/bitnami-charts_1789387262
7	:	1789387722.657	   303.100	0	0	1	0	bash docs/reports/bitnami-runs/bitnami-charts_1789387262/chart.sh third_party/bitnami-charts/bitnami/aspnet-core 7 2 docs/reports/bitnami-runs/bitnami-charts_1789387262
8	:	1789387729.368	   303.708	0	0	1	0	bash docs/reports/bitnami-runs/bitnami-charts_1789387262/chart.sh third_party/bitnami-charts/bitnami/cadvisor 8 6 docs/reports/bitnami-runs/bitnami-charts_1789387262
9	:	1789387732.689	   303.298	0	0	1	0	bash docs/reports/bitnami-runs/bitnami-charts_1789387262/chart.sh third_party/bitnami-charts/bitnami/cassandra 9 4 docs/reports/bitnami-runs/bitnami-charts_1789387262
10	:	1789387733.096	   303.886	0	0	1	0	bash docs/reports/bitnami-runs/bitnami-charts_1789387262/chart.sh third_party/bitnami-charts/bitnami/cert-manager 10 5 docs/reports/bitnami-runs/bitnami-charts_1789387262
16	:	1789388036.996	     0.619	0	0	2	0	bash docs/reports/bitnami-runs/bitnami-charts_1789387262/chart.sh third_party/bitnami-charts/bitnami/common 16 5 docs/reports/bitnami-runs/bitnami-charts_1789387262
11	:	1789387733.147	   310.713	0	0	2	0	bash docs/reports/bitnami-runs/bitnami-charts_1789387262/chart.sh third_party/bitnami-charts/bitnami/chainloop 11 3 docs/reports/bitnami-runs/bitnami-charts_1789387262
12	:	1789387735.301	   311.130	0	0	2	0	bash docs/reports/bitnami-runs/bitnami-charts_1789387262/chart.sh third_party/bitnami-charts/bitnami/cilium 12 1 docs/reports/bitnami-runs/bitnami-charts_1789387262
13	:	1789388025.773	   303.720	0	0	1	0	bash docs/reports/bitnami-runs/bitnami-charts_1789387262/chart.sh third_party/bitnami-charts/bitnami/clickhouse 13 2 docs/reports/bitnami-runs/bitnami-charts_1789387262
14	:	1789388033.086	   302.375	0	0	1	0	bash docs/reports/bitnami-runs/bitnami-charts_1789387262/chart.sh third_party/bitnami-charts/bitnami/clickhouse-operator 14 6 docs/reports/bitnami-runs/bitnami-charts_1789387262
15	:	1789388036.005	   303.493	0	0	1	0	bash docs/reports/bitnami-runs/bitnami-charts_1789387262/chart.sh third_party/bitnami-charts/bitnami/cloudnative-pg 15 4 docs/reports/bitnami-runs/bitnami-charts_1789387262
17	:	1789388037.622	   306.029	0	0	2	0	bash docs/reports/bitnami-runs/bitnami-charts_1789387262/chart.sh third_party/bitnami-charts/bitnami/concourse 17 5 docs/reports/bitnami-runs/bitnami-charts_1789387262
18	:	1789388043.889	   302.779	0	0	1	0	bash docs/reports/bitnami-runs/bitnami-charts_1789387262/chart.sh third_party/bitnami-charts/bitnami/consul 18 3 docs/reports/bitnami-runs/bitnami-charts_1789387262
19	:	1789388046.440	   303.950	0	0	2	0	bash docs/reports/bitnami-runs/bitnami-charts_1789387262/chart.sh third_party/bitnami-charts/bitnami/contour 19 1 docs/reports/bitnami-runs/bitnami-charts_1789387262
20	:	1789388329.503	   309.313	0	0	1	0	bash docs/reports/bitnami-runs/bitnami-charts_1789387262/chart.sh third_party/bitnami-charts/bitnami/deepspeed 20 2 docs/reports/bitnami-runs/bitnami-charts_1789387262
21	:	1789388335.469	   309.227	0	0	1	0	bash docs/reports/bitnami-runs/bitnami-charts_1789387262/chart.sh third_party/bitnami-charts/bitnami/discourse 21 6 docs/reports/bitnami-runs/bitnami-charts_1789387262
23	:	1789388343.661	   305.059	0	0	1	0	bash docs/reports/bitnami-runs/bitnami-charts_1789387262/chart.sh third_party/bitnami-charts/bitnami/drupal 23 5 docs/reports/bitnami-runs/bitnami-charts_1789387262
22	:	1789388339.508	   309.486	0	0	1	0	bash docs/reports/bitnami-runs/bitnami-charts_1789387262/chart.sh third_party/bitnami-charts/bitnami/dremio 22 4 docs/reports/bitnami-runs/bitnami-charts_1789387262
24	:	1789388346.683	   306.210	0	0	1	0	bash docs/reports/bitnami-runs/bitnami-charts_1789387262/chart.sh third_party/bitnami-charts/bitnami/ejbca 24 3 docs/reports/bitnami-runs/bitnami-charts_1789387262
25	:	1789388350.396	   307.381	0	0	2	0	bash docs/reports/bitnami-runs/bitnami-charts_1789387262/chart.sh third_party/bitnami-charts/bitnami/elasticsearch 25 1 docs/reports/bitnami-runs/bitnami-charts_1789387262
31	:	1789388657.786	     2.479	0	0	1	0	bash docs/reports/bitnami-runs/bitnami-charts_1789387262/chart.sh third_party/bitnami-charts/bitnami/fluentd 31 1 docs/reports/bitnami-runs/bitnami-charts_1789387262
26	:	1789388638.837	   304.802	0	0	1	0	bash docs/reports/bitnami-runs/bitnami-charts_1789387262/chart.sh third_party/bitnami-charts/bitnami/envoy-gateway 26 2 docs/reports/bitnami-runs/bitnami-charts_1789387262
29	:	1789388649.003	   302.624	0	0	1	0	bash docs/reports/bitnami-runs/bitnami-charts_1789387262/chart.sh third_party/bitnami-charts/bitnami/flink 29 4 docs/reports/bitnami-runs/bitnami-charts_1789387262
28	:	1789388648.735	   303.226	0	0	2	0	bash docs/reports/bitnami-runs/bitnami-charts_1789387262/chart.sh third_party/bitnami-charts/bitnami/external-dns 28 5 docs/reports/bitnami-runs/bitnami-charts_1789387262
27	:	1789388644.703	   307.908	0	0	2	0	bash docs/reports/bitnami-runs/bitnami-charts_1789387262/chart.sh third_party/bitnami-charts/bitnami/etcd 27 6 docs/reports/bitnami-runs/bitnami-charts_1789387262
30	:	1789388652.901	   302.655	0	0	1	0	bash docs/reports/bitnami-runs/bitnami-charts_1789387262/chart.sh third_party/bitnami-charts/bitnami/fluent-bit 30 3 docs/reports/bitnami-runs/bitnami-charts_1789387262
32	:	1789388660.272	   306.080	0	0	2	0	bash docs/reports/bitnami-runs/bitnami-charts_1789387262/chart.sh third_party/bitnami-charts/bitnami/flux 32 1 docs/reports/bitnami-runs/bitnami-charts_1789387262
